protection	configuration	head_mode	training_mode	epoch	lr	train_loss	train_accuracy	accuracy	fidelity	kl_divergence_victim_to_surrogate
full_protection	replace_finetune	replace	finetune	5	0.01	2.7134723262786866	0.404	0.1108	0.1205	3.342344215774536
full_protection	replace_finetune	replace	finetune	6	0.01	2.3457567138671873	0.47	0.1208	0.1281	3.324247358703613
full_protection	replace_finetune	replace	finetune	7	0.01	2.049989091873169	0.544	0.1267	0.135	3.301077297210693
full_protection	replace_finetune	replace	finetune	8	0.01	1.7455431623458861	0.648	0.1292	0.1379	3.321621482849121
full_protection	replace_finetune	replace	finetune	9	0.01	1.508471095085144	0.682	0.1422	0.1478	3.2676058864593505
full_protection	replace_finetune	replace	finetune	10	0.01	1.294561842918396	0.75	0.1393	0.1443	3.2551001201629637
full_protection	replace_finetune	replace	finetune	11	0.01	1.060563283920288	0.782	0.1464	0.1552	3.2458755451202395
full_protection	replace_finetune	replace	finetune	12	0.01	0.9725695638656616	0.82	0.1514	0.161	3.244466970062256
full_protection	replace_finetune	replace	finetune	13	0.01	0.8023887934684754	0.882	0.1565	0.1645	3.2272161994934083
full_protection	replace_finetune	replace	finetune	14	0.01	0.6538619270324707	0.896	0.1574	0.1676	3.2335209968566896
full_protection	replace_finetune	replace	finetune	15	0.01	0.5996019625663758	0.914	0.1625	0.1736	3.2177902988433837
full_protection	replace_finetune	replace	finetune	16	0.01	0.4952426187992096	0.928	0.162	0.1712	3.2451695198059083
full_protection	replace_finetune	replace	finetune	17	0.01	0.4483420691490173	0.93	0.1597	0.1706	3.2766094146728517
full_protection	replace_finetune	replace	finetune	18	0.01	0.34155894327163694	0.972	0.1631	0.1715	3.2770047088623047
full_protection	replace_finetune	replace	finetune	19	0.01	0.30092662858963015	0.972	0.1663	0.175	3.288949154663086
full_protection	replace_finetune	replace	finetune	20	0.01	0.28923591113090513	0.962	0.1656	0.1748	3.294222484588623
full_protection	replace_finetune	replace	finetune	21	0.01	0.2163193073272705	0.984	0.1658	0.176	3.2990669876098635
full_protection	replace_finetune	replace	finetune	22	0.01	0.21276304006576538	0.99	0.1664	0.1775	3.3101225341796874
full_protection	replace_finetune	replace	finetune	23	0.01	0.19485905873775483	0.976	0.1729	0.1835	3.290619312286377
full_protection	replace_finetune	replace	finetune	24	0.01	0.19688835000991822	0.982	0.1715	0.1822	3.29546534614563
full_protection	replace_finetune	replace	finetune	25	0.01	0.17402998900413513	0.984	0.1701	0.1798	3.312573741531372
full_protection	replace_finetune	replace	finetune	26	0.01	0.15119386434555054	0.988	0.1719	0.181	3.3014276107788088
full_protection	replace_finetune	replace	finetune	27	0.01	0.13448816001415254	0.986	0.1754	0.1866	3.3051358085632323
full_protection	replace_finetune	replace	finetune	28	0.01	0.13477599847316743	0.996	0.1764	0.1881	3.31357233581543
full_protection	replace_finetune	replace	finetune	29	0.01	0.13156117022037506	0.99	0.1757	0.1863	3.318099641418457
full_protection	replace_finetune	replace	finetune	30	0.01	0.1201690936088562	0.996	0.1709	0.1821	3.354474221801758
full_protection	replace_finetune	replace	finetune	31	0.001	0.10622711658477783	0.99	0.1743	0.1857	3.3509178207397463
full_protection	replace_finetune	replace	finetune	32	0.001	0.09846534466743469	0.996	0.1749	0.1866	3.34836028137207
full_protection	replace_finetune	replace	finetune	33	0.001	0.08498684757947922	0.998	0.174	0.1856	3.348562994003296
full_protection	replace_finetune	replace	finetune	34	0.001	0.09934165281057358	0.996	0.1757	0.1878	3.3415943817138674
full_protection	replace_finetune	replace	finetune	35	0.001	0.09440001606941223	0.996	0.1765	0.1881	3.3383090042114256
