seed	subset	restored_group_count	restored_groups	restored_param_count	soft_ce	posterior_kl	fidelity	prediction_entropy	feature_rms	feature_l2	logit_rms
43	96	2	bn_gamma,head	56100	4.910505981445312	4.383967895507812	0.09	2.513173370361328	0.5204563617863901	11.73502685546875	2.4816323697820355
43	97	3	layer1_0_conv1,bn_gamma,head	92964	4.317499694824218	3.7909613037109375	0.1	2.5458218383789064	0.5134671645321971	11.56797119140625	2.412112339320041
43	98	3	layer1_1_conv1,bn_gamma,head	92964	4.4131466674804685	3.8866085815429687	0.08	2.471937408447266	0.5133310047113355	11.57107421875	2.3935548223301675
43	99	4	layer1_0_conv1,layer1_1_conv1,bn_gamma,head	129828	3.8465084838867187	3.3199700927734375	0.09	2.5292172241210937	0.5101396122741602	11.490606689453125	2.3657304302794095
43	100	3	layer2_0_conv1,bn_gamma,head	129828	3.5801092529296876	3.0535711669921874	0.15	2.459844970703125	0.518269548488175	11.673477783203126	2.388425704046496
43	101	4	layer1_0_conv1,layer2_0_conv1,bn_gamma,head	166692	2.7378695678710936	2.211331481933594	0.29	2.4379837036132814	0.516409795751821	11.63615478515625	2.378148406586519
43	102	4	layer1_1_conv1,layer2_0_conv1,bn_gamma,head	166692	2.808895263671875	2.282357177734375	0.26	2.44242919921875	0.5075337839391577	11.446412353515624	2.3180640831845007
43	103	5	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1,bn_gamma,head	203556	2.2850750732421874	1.7585369873046874	0.35	2.315302429199219	0.513851931964256	11.59085205078125	2.3636134115745326
43	104	3	layer2_1_conv1,bn_gamma,head	203556	4.773324890136719	4.2467868041992185	0.09	2.471709442138672	0.52302895159848	11.790399169921875	2.504702296431654
43	105	4	layer1_0_conv1,layer2_1_conv1,bn_gamma,head	240420	4.151072998046875	3.6245352172851564	0.11	2.483927917480469	0.5179103076121936	11.668017578125	2.4501686804177383
43	106	4	layer1_1_conv1,layer2_1_conv1,bn_gamma,head	240420	4.204981384277343	3.6784429931640625	0.08	2.407667388916016	0.5157040067311808	11.62443359375	2.431724568079206
43	107	5	layer1_0_conv1,layer1_1_conv1,layer2_1_conv1,bn_gamma,head	277284	3.612925720214844	3.086387939453125	0.13	2.430874786376953	0.514073371192516	11.5871435546875	2.41684695807368
43	108	4	layer2_0_conv1,layer2_1_conv1,bn_gamma,head	277284	3.2187066650390626	2.6921682739257813	0.21	2.386413116455078	0.5230572677388898	11.78332763671875	2.4128827416598595
43	109	5	layer1_0_conv1,layer2_0_conv1,layer2_1_conv1,bn_gamma,head	314148	2.430275573730469	1.9037376403808595	0.39	2.2594288635253905	0.521291331017919	11.748453369140625	2.4106417713961568
