seed	subset	public_group_count	public_groups	public_state_count	public_param_count	soft_ce	posterior_kl	fidelity	prediction_entropy	feature_rms	feature_l2	logit_rms	kl_minus_victim
50	6	2	block_bn1,block_bn2	16	3840	10.8163916015625	10.248779296875	0.14	0.643408432006836	1.6757125932905381	37.33698486328125	6.2670088559056625	10.248779188408516
50	7	3	stem,block_bn1,block_bn2	17	3904	13.03528564453125	12.46767333984375	0.07	0.6182376098632812	1.6501825405064094	36.8234521484375	5.972772335775071	12.467673231377265
50	8	1	downsample	3	896	0.9212051391601562	0.35359237670898436	0.87	1.4826042175292968	0.46424047480247155	10.447869873046875	2.107042877470698	0.35359226824250073
50	9	2	stem,downsample	4	960	2.032449188232422	1.46483642578125	0.58	2.2978094482421874	0.44521256245645513	10.035909423828125	2.0636941618733142	1.4648363173147665
50	10	2	block_bn1,downsample	11	2816	1.851016082763672	1.2834033203125	0.59	2.228514862060547	0.43784462570615806	9.811826171875	1.9745680896401117	1.2834032118460164
50	11	3	stem,block_bn1,downsample	12	2880	3.39677490234375	2.82916259765625	0.26	2.638799743652344	0.421873236758468	9.503458251953125	1.958627349382725	2.829162489189766
50	12	2	block_bn2,downsample	11	2816	5.745831298828125	5.178218994140625	0.29	0.8427137756347656	1.3775598729686058	31.06666259765625	6.063112082503506	5.178218885674141
50	13	3	stem,block_bn2,downsample	12	2880	8.304532470703125	7.736919555664063	0.14	0.9597068023681641	1.3898462751171552	31.353046875	6.3792858142585205	7.736919447197579
50	14	3	block_bn1,block_bn2,downsample	19	4736	12.19138671875	11.6237744140625	0.14	0.6679779815673829	1.721931005214422	38.743447265625	7.0062275869400645	11.623774305596017
50	15	4	stem,block_bn1,block_bn2,downsample	20	4800	13.149935302734375	12.58232177734375	0.07	0.7176666259765625	1.6436192913810668	37.00736083984375	6.7961641294924595	12.582321668877267
51	0	0		0	0	0.5458565521240234	9.335053618997335e-08	1.0	0.5458348846435547	0.6583026283282387	14.789150390625	2.991605703882114	0.0
51	1	1	stem	1	64	2.058662567138672	1.5128060913085937	0.51	1.3911927795410157	0.6222576555123689	14.020147705078125	2.809197922672947	1.5128059979580575
51	2	1	block_bn1	8	1920	1.1887804412841796	0.6429240417480468	0.78	1.3375352478027345	0.5677180391467724	12.72476318359375	2.4816054531290828	0.6429239483975107
51	3	2	stem,block_bn1	9	1984	3.1750054931640626	2.6291488647460937	0.31	1.8705999755859375	0.5516490835900856	12.41148193359375	2.447035195905445	2.6291487713955575
51	4	1	block_bn2	8	1920	2.6258062744140624	2.079949951171875	0.59	0.5093046569824219	1.4915104505407482	33.46048828125	6.662504690429868	2.079949857821339
51	5	2	stem,block_bn2	9	1984	6.642068481445312	6.096212158203125	0.24	0.6571185302734375	1.483747605897921	33.33025390625	6.87744979080182	6.096212064852589
51	6	2	block_bn1,block_bn2	16	3840	11.42821533203125	10.882359619140624	0.09	0.5385638427734375	1.668382742826867	37.29211181640625	6.115878667452454	10.882359525790088
51	7	3	stem,block_bn1,block_bn2	17	3904	14.62616455078125	14.0803076171875	0.06	0.4773367309570313	1.6722400302438643	37.195791015625	5.986946738530417	14.080307523836964
51	8	1	downsample	3	896	0.8732990264892578	0.3274425506591797	0.86	1.5113455200195312	0.4692217271566182	10.55568115234375	2.1272516563338244	0.3274424573086435
51	9	2	stem,downsample	4	960	2.1710455322265627	1.625189208984375	0.46	2.3386456298828127	0.4444078753579596	10.021282348632813	2.0589105128683958	1.6251891156338387
51	10	2	block_bn1,downsample	11	2816	1.7176528930664063	1.1717965698242188	0.58	2.29609130859375	0.4408729883444966	9.8984521484375	1.9959231886523088	1.1717964764736826
51	11	3	stem,block_bn1,downsample	12	2880	3.5496365356445314	3.0037799072265625	0.18	2.7054867553710937	0.42197965101021073	9.50927490234375	1.9777091782539717	3.0037798138760263
51	12	2	block_bn2,downsample	11	2816	5.5733251953125	5.027468872070313	0.27	0.9019412231445313	1.3746604916433571	30.9996337890625	6.066132932107571	5.0274687787197765
51	13	3	stem,block_bn2,downsample	12	2880	8.488779296875	7.94292236328125	0.13	1.0945402526855468	1.3631239835865652	30.744345703125	6.277535593288182	7.942922269930714
51	14	3	block_bn1,block_bn2,downsample	19	4736	12.115098876953125	11.5692431640625	0.09	0.7652557373046875	1.7110550401976954	38.50146484375	6.9531229494379	11.569243070711964
51	15	4	stem,block_bn1,block_bn2,downsample	20	4800	13.30658203125	12.76072509765625	0.02	0.7824365234375	1.6238593690613363	36.5554833984375	6.675769150442517	12.760725004305714
52	0	0		0	0	0.5161506271362305	9.043258614838123e-08	1.0	0.5161726379394531	0.6736225059917559	15.11062255859375	3.0239537188505383	0.0
52	1	1	stem	1	64	1.8865402221679688	1.3703898620605468	0.59	1.356297607421875	0.6255517584032566	14.08010009765625	2.8087420727524983	1.3703897716279607
52	2	1	block_bn1	8	1920	1.3561695861816405	0.8400189208984375	0.67	1.3454193115234374	0.5754593714235434	12.843367919921874	2.466075687580371	0.8400188304658514
52	3	2	stem,block_bn1	9	1984	3.1551358032226564	2.638985290527344	0.33	1.7740472412109376	0.5540863648173574	12.4169873046875	2.451087768726367	2.6389852000947576
52	4	1	block_bn2	8	1920	2.216435852050781	1.7002853393554687	0.58	0.5535636520385743	1.4784935909025254	33.164443359375	6.570784294892049	1.7002852489228826
52	5	2	stem,block_bn2	9	1984	5.291995849609375	4.7758447265625	0.3	0.7178687286376954	1.4654643477050306	32.9303173828125	6.7133788996302	4.775844636129914
52	6	2	block_bn1,block_bn2	16	3840	11.64274658203125	11.1265966796875	0.12	0.6524604797363281	1.6866902534936488	37.212119140625	6.097816719941655	11.126596589254914
52	7	3	stem,block_bn1,block_bn2	17	3904	14.512542724609375	13.996392822265625	0.03	0.45062568664550784	1.637841015898483	36.4510107421875	5.771524387022895	13.996392731833039
52	8	1	downsample	3	896	0.8454088592529296	0.3292582702636719	0.84	1.3697622680664063	0.47102031989517223	10.590184326171874	2.1195586583649906	0.32925817983108574
52	9	2	stem,downsample	4	960	2.0532180786132814	1.5370675659179687	0.49	2.163069763183594	0.44425763389713285	10.015516357421875	2.0572505164660915	1.5370674754853826
52	10	2	block_bn1,downsample	11	2816	1.8088058471679687	1.2926553344726563	0.48	2.1946615600585937	0.44109366092282354	9.886580810546874	1.9767438898982337	1.2926552440400703
52	11	3	stem,block_bn1,downsample	12	2880	3.4372262573242187	2.921075744628906	0.2	2.6196832275390625	0.4248553310329634	9.563048706054687	1.9942920501395978	2.92107565419632
