seed	case	utilization_strength	origin	best_epoch	selected_query_train_loss	selected_query_train_match	selected_validation_loss	selected_validation_match	epoch0_train_loss	epoch0_train_match	epoch0_validation_loss	epoch0_validation_match	surrogate_acc	fidelity	posterior_kl	accuracy_minus_blackbox	fidelity_minus_blackbox	posterior_kl_minus_blackbox	validation_loss_minus_blackbox	all_final_metrics_worse_than_blackbox	state_sha256
50	lambda_000	0.0	reused_lab04_matched_blackbox	87	0.6186709046363831	0.985	3.8375072479248047	0.16	4.751346588134766	0.0175	4.804477214813232	0.01	0.1425	0.1501	3.0149650390625	0.0	0.0	0.0	0.0	False	e69071851a01b89c7c23e4d3542e4927ef4a62c5e81974c8b875e9e539b27b80
50	lambda_025	0.25	trained_lab08_intermediate	75	0.6093194150924682	0.975	3.5359420776367188	0.22	4.613870735168457	0.0125	4.620196342468262	0.02	0.17	0.1776	2.728396817779541	0.027500000000000024	0.027499999999999997	-0.286568221282959	-0.30156517028808594	False	fe1cedc8bd64b504e1ca2863d8f68bf93da3915faf88133b21400d6f3f619ff3
50	lambda_050	0.5	trained_lab08_intermediate	100	0.5979124593734741	0.9725	3.270359992980957	0.17	4.63642463684082	0.02	4.6259765625	0.02	0.1866	0.1987	2.631816946029663	0.0441	0.04859999999999998	-0.3831480930328368	-0.5671472549438477	False	4d2269426fc9ac60a37f1edde222b9e58591277bddfa41e0a69fd0a61325c209
50	lambda_075	0.75	trained_lab08_intermediate	97	0.6024303007125854	0.9825	3.573552131652832	0.23	4.7734644317626955	0.0125	4.699442386627197	0.03	0.1582	0.1693	2.837790089416504	0.01570000000000002	0.019199999999999995	-0.177174949645996	-0.26395511627197266	False	9db89599377b3619ff6a5c85940b3560ff298f522b13b111f4988229b2355114
50	lambda_100	1.0	reused_lab04_hybrid	100	0.6130744171142578	0.975	3.9101510047912598	0.16	9.869317817687989	0.0025	9.267555236816406	0.0	0.1152	0.1205	3.158194119644165	-0.02729999999999999	-0.029600000000000015	0.14322908058166517	0.07264375686645508	True	c548eec0cd7f45b519368a752f54c2bfaed350544158cc6023aea9f64965357d
51	lambda_000	0.0	reused_lab04_matched_blackbox	95	0.6159414601325989	0.9675	3.6721458435058594	0.14	4.792736530303955	0.0025	4.8071208000183105	0.0	0.1483	0.1526	2.9577788276672363	0.0	0.0	0.0	0.0	False	744ec7d5ee2e49fdff85828dc8e4269a44f9eb8d673a459d3cd1f83e4489f886
51	lambda_025	0.25	trained_lab08_intermediate	95	0.6019512796401978	0.9775	3.5259172916412354	0.21	4.646694145202637	0.005	4.614166259765625	0.01	0.1838	0.1901	2.6726965827941895	0.035500000000000004	0.03749999999999998	-0.2850822448730468	-0.14622855186462402	False	8a474b99e63d4bd78ee80d3327d4ab299cdaad97640aaab58994d17fcc277343
51	lambda_050	0.5	trained_lab08_intermediate	94	0.603032922744751	0.9725	3.362320899963379	0.18	4.653151779174805	0.0075	4.605865478515625	0.0	0.1946	0.2083	2.5478864093780516	0.04630000000000001	0.0557	-0.40989241828918477	-0.30982494354248047	False	4a0fd88b77da21d25cf83a142c57f54ee718028f5fc6f793f5b732fd0e693e98
51	lambda_075	0.75	trained_lab08_intermediate	95	0.6083855056762695	0.9725	3.4866268634796143	0.24	4.7533778381347656	0.0	4.671634197235107	0.0	0.1626	0.1721	2.7513117088317873	0.014300000000000007	0.01949999999999999	-0.206467118835449	-0.18551898002624512	False	c8b118da1861bcf30e29421d45e6e71539cfb40469aba5ff58e879256854df7f
51	lambda_100	1.0	reused_lab04_hybrid	83	0.6216927433013916	0.97	3.875905752182007	0.16	10.707107009887695	0.0125	11.739920616149902	0.0	0.1202	0.1309	3.0769005107879637	-0.028099999999999986	-0.021700000000000025	0.11912168312072735	0.20375990867614746	True	0038d6a6a7da0391ec89aca8e87267881c969403ff0223bc7e1ffc2663709e6d
52	lambda_000	0.0	reused_lab04_matched_blackbox	83	0.64210125207901	0.9675	3.844451427459717	0.2	4.760948867797851	0.005	4.803752422332764	0.01	0.1507	0.1564	2.9742168075561524	0.0	0.0	0.0	0.0	False	fcefb1c7925b7a4dbebf56492c341f65849fb9dee31cdc90e29aee6e9e127f85
52	lambda_025	0.25	trained_lab08_intermediate	99	0.6139526128768921	0.9725	3.5634267330169678	0.25	4.6268626403808595	0.0075	4.643719673156738	0.0	0.1774	0.1858	2.7532322601318358	0.0267	0.02939999999999998	-0.2209845474243166	-0.281024694442749	False	5647b758efda64dfedea961c687bd08431839587f55c910292a592ec39b7b900
52	lambda_050	0.5	trained_lab08_intermediate	92	0.615068187713623	0.975	3.3607075214385986	0.28	4.667286586761475	0.01	4.67254638671875	0.01	0.1989	0.2119	2.58749588394165	0.04819999999999999	0.055499999999999994	-0.38672092361450217	-0.48374390602111816	False	047ecd006360ab12b5b615a9b453e6c4f9b12ca09b68f5ee86a8f8bc804fadaf
52	lambda_075	0.75	trained_lab08_intermediate	89	0.6194982624053955	0.975	3.5670855045318604	0.25	4.779564094543457	0.0075	4.818102836608887	0.02	0.1729	0.1807	2.75771803855896	0.022199999999999998	0.02429999999999999	-0.21649876899719223	-0.27736592292785645	False	a259e5e94f844894896197f98f43974f4ebc68c683b8178476ce4f6d3a15185c
52	lambda_100	1.0	reused_lab04_hybrid	93	0.6268647003173828	0.9775	4.072105407714844	0.2	10.707862167358398	0.0	10.384130477905273	0.01	0.1146	0.1239	3.160564589691162	-0.03610000000000001	-0.032500000000000015	0.1863477821350097	0.22765398025512695	True	148b507270beba267d4906a8f752e5585fd0ae4a0796b590402eba56d0406b03
