unit编号	state名称	state类型	模块	计算	输入	输出	TensorShield Top-17
102	layer4.0.downsample.0.weight	parameter	layer4.0.downsample.0	1×1 卷积，stride=2，padding=0，bias=False	256×2×2	512×1×1	—
103	layer4.0.downsample.1.weight	parameter	layer4.0.downsample.1	BatchNorm2d(512)	512×1×1	512×1×1	—
104	layer4.0.downsample.1.bias	parameter	layer4.0.downsample.1	BatchNorm2d(512)	512×1×1	512×1×1	—
105	layer4.0.downsample.1.running_mean	buffer	layer4.0.downsample.1	BatchNorm2d(512)	512×1×1	512×1×1	—
106	layer4.0.downsample.1.running_var	buffer	layer4.0.downsample.1	BatchNorm2d(512)	512×1×1	512×1×1	—
107	layer4.0.downsample.1.num_batches_tracked	buffer	layer4.0.downsample.1	BatchNorm2d(512)	512×1×1	512×1×1	—
—	—	—	layer4.0.add	主分支与 downsample 逐元素相加	512×1×1 + 512×1×1	512×1×1	—
—	—	—	layer4.0.relu（第2次）	ReLU(inplace=True)	512×1×1	512×1×1	—
—	—	—	layer4.1.identity	恒等映射	512×1×1	512×1×1	—
108	layer4.1.conv1.weight	parameter	layer4.1.conv1	3×3 卷积，stride=1，padding=1，bias=False	512×1×1	512×1×1	Top-14
109	layer4.1.bn1.weight	parameter	layer4.1.bn1	BatchNorm2d(512)	512×1×1	512×1×1	—
110	layer4.1.bn1.bias	parameter	layer4.1.bn1	BatchNorm2d(512)	512×1×1	512×1×1	—
111	layer4.1.bn1.running_mean	buffer	layer4.1.bn1	BatchNorm2d(512)	512×1×1	512×1×1	—
112	layer4.1.bn1.running_var	buffer	layer4.1.bn1	BatchNorm2d(512)	512×1×1	512×1×1	—
113	layer4.1.bn1.num_batches_tracked	buffer	layer4.1.bn1	BatchNorm2d(512)	512×1×1	512×1×1	—
—	—	—	layer4.1.relu（第1次）	ReLU(inplace=True)	512×1×1	512×1×1	—
114	layer4.1.conv2.weight	parameter	layer4.1.conv2	3×3 卷积，stride=1，padding=1，bias=False	512×1×1	512×1×1	Top-15
115	layer4.1.bn2.weight	parameter	layer4.1.bn2	BatchNorm2d(512)	512×1×1	512×1×1	—
116	layer4.1.bn2.bias	parameter	layer4.1.bn2	BatchNorm2d(512)	512×1×1	512×1×1	—
117	layer4.1.bn2.running_mean	buffer	layer4.1.bn2	BatchNorm2d(512)	512×1×1	512×1×1	—
118	layer4.1.bn2.running_var	buffer	layer4.1.bn2	BatchNorm2d(512)	512×1×1	512×1×1	—
119	layer4.1.bn2.num_batches_tracked	buffer	layer4.1.bn2	BatchNorm2d(512)	512×1×1	512×1×1	—
—	—	—	layer4.1.add	主分支与 identity 逐元素相加	512×1×1 + 512×1×1	512×1×1	—
—	—	—	layer4.1.relu（第2次）	ReLU(inplace=True)	512×1×1	512×1×1	—
—	—	—	avgpool	AdaptiveAvgPool2d((1, 1))	512×1×1	512×1×1	—
—	—	—	flatten	view(N, -1)	512×1×1	512	—
120	last_linear.weight	parameter	last_linear	Linear(512→100)，bias=True	512	100	Top-3
121	last_linear.bias	parameter	last_linear	Linear(512→100)，bias=True	512	100	—
