case	top_k	variant	origin	extra_state_names	protected_unit_count	protected_param_count	protected_param_ratio	protection_mask_sha256	surrogate_acc	fidelity	posterior_kl	accuracy_change_from_top_k	fidelity_change_from_top_k	posterior_kl_change_from_top_k
top_11_stem_conv	11	stem_conv	trained_lab06	conv1.weight	13	1608996	0.1433045013578781	95975a35ff287dfc16e5337df4c29c3b931149570fabe738f3cccabf822f2411	0.172	0.1829	2.6618182983398437	-0.003700000000000009	-0.008099999999999996	0.05436077079772961
top_11_all_extras	11	all_extras	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight,layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight,conv1.weight	36	1785828	0.15905396349707315	fe33294e67aada004487d318c0aaec1708601761b176227c76f111097348f3c8	0.1665	0.1706	2.7569124198913575	-0.009199999999999986	-0.0204	0.14945489234924336
top_12	12	top_k	reused_lab04_prefix		13	2779236	0.24753139792508105	38c826adbde52d12192fc86daec851fcfa0c3a5c02ca32163e193e215d3dd651	0.1655	0.1757	2.6904428455352782	0.0	0.0	0.0
top_12_bn_gamma	12	bn_gamma	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight	33	2784036	0.24795890775513518	41e95ba6f1752d1130713faac1cc903f1345bef76be1d295891c738546868204	0.1389	0.1457	2.9273859031677247	-0.026600000000000013	-0.03	0.2369430576324465
top_12_downsample_conv	12	downsample_conv	trained_lab06	layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight	16	2951268	0.26285335023422196	a842fea9c46f06799aec73067b2ec45f6c224c82c0c312a6ede007ffcb8da613	0.15	0.1608	2.833890456390381	-0.015500000000000014	-0.014899999999999997	0.1434476108551026
top_12_bn_gamma_downsample	12	bn_gamma_downsample	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight,layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight	36	2956068	0.2632808600642761	2ec553d6dca929af722d5221bea222047182ee185c7da7c6ee2ad0cdcc1569fd	0.1474	0.154	2.891302313613892	-0.018100000000000005	-0.021699999999999997	0.20085946807861355
top_12_stem_conv	12	stem_conv	trained_lab06	conv1.weight	14	2788644	0.24836931719198718	66cd656037e1c326d57432c52294afcaf92a86626ac0be945b9ef334a600851f	0.1629	0.1739	2.7279232002258302	-0.002600000000000019	-0.001799999999999996	0.037480354690552
top_12_all_extras	12	all_extras	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight,layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight,conv1.weight	37	2965476	0.2641187793311823	a7d8902d4ad93e871a6a5365251466bd0153e0cf85ea188fe3a7a3713e280755	0.1681	0.1757	2.6992606384277344	0.002599999999999991	0.0	0.008817792892456211
top_13	13	top_k	reused_lab04_prefix		14	5138532	0.4576610295932992	ee045330f9250b84eafea123f56127ce426826a7196a44a8e56a66bb07d0ad40	0.16	0.1732	2.7073843437194824	0.0	0.0	0.0
top_13_bn_gamma	13	bn_gamma	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight	34	5143332	0.45808853942335337	e26f06ddf11b3c3212c0ecc9a299f606bff89636d4931fbc86ad883c77f22af7	0.1485	0.154	2.8685483932495117	-0.01150000000000001	-0.019199999999999995	0.16116404953002927
