seed	case	utilization_strength	state_sha256	train_loss	train_match	validation_loss	validation_kl	validation_match
45	lambda_025	0.25	055bbca05a6f222b7d269465bdaa78fb7548a8c7b9e00993be64c8aae7e8835a	4.630871925354004	0.015	4.59602165222168	4.06850830078125	0.01
45	lambda_050	0.5	f8f27bb9a1d07c2432d7cca9e80c2b98aa110cbefce333320dc341649c3a3a29	4.642014102935791	0.0175	4.660870552062988	4.133357238769531	0.0
45	lambda_075	0.75	e75763637e141d0cad3e47003f07bdfc5acbd1c2ba7d8ee14a2559a4d32c7d83	4.754432888031006	0.005	4.891467094421387	4.363953857421875	0.01
45	lambda_100	1.0	f9c4c743683039a4e495e8c5836293fc5c6f448ab443a314b3af78dc5eeba3ea	10.809404373168945	0.0075	9.420594215393066	8.8930810546875	0.01
46	lambda_000	0.0	292df04a251b9b93b53bb99f24647ea4b35546c6471f300213441c1ce271f694	4.700652027130127	0.0075	4.716495990753174	4.090228271484375	0.01
46	lambda_025	0.25	970cdf19aff625510c552037192f4cd71ba2da6095806c5ac01ecf4fca644545	4.642984809875489	0.0025	4.620002269744873	3.993735046386719	0.03
46	lambda_050	0.5	20ac52953b46ed7fdb8080c823af50c1e907b21cf46d98e1e80d1c6a23b1acbb	4.677383804321289	0.005	4.642422199249268	4.01615478515625	0.01
46	lambda_075	0.75	12a8a95a85445d251abf5120e7a0ed036caa9f25a0a50c18c793c7748ecdcfa6	4.791936302185059	0.005	4.740405559539795	4.114137878417969	0.0
46	lambda_100	1.0	b25b36f57c6ca6122840b658b2021cd597720b8466bafcafbb1cb0bea0881a53	12.527622299194336	0.005	13.207072257995605	12.5808056640625	0.01
47	lambda_000	0.0	fd7751a4f6fd90f2c7ad6dfcc634f74d0c7bb8c5b9218c3eeec490dfb4071365	4.716676654815674	0.0075	4.736255645751953	4.2280035400390625	0.0
47	lambda_025	0.25	925e638e78d4aa5ed3dfd85b9406973a160f8f256fcdbadab7671524b082b114	4.605405578613281	0.01	4.6069135665893555	4.098661499023438	0.0
47	lambda_050	0.5	c99928adce50b73889bf3ad4e93a4c0e9517dd950dea676612f25655f150ea0d	4.630416984558106	0.0075	4.6226959228515625	4.114443969726563	0.0
47	lambda_075	0.75	b7f9dbec58e5ffdd595f88d10fc29d212f282e76723eb3aca0025c9d37b02c33	4.762837104797363	0.0125	4.7745256423950195	4.266273498535156	0.01
